logTime: 23/12/2023 20:00:19, source: Backend, module: entry, actionType: load_employee_data, actionValue: Success, logMessage: Loaded employee data, line: 109
logTime: 23/12/2023 20:20:45, source: Backend, module: entry, actionType: load_employee_data, actionValue: Success, logMessage: Loaded employee data, line: 109
logTime: 23/12/2023 20:59:24, source: Backend, module: entry, actionType: load_employee_data, actionValue: Success, logMessage: Loaded employee data, line: 109
logTime: 24/12/2023 11:37:04, source: Backend, module: entry, actionType: load_employee_data, actionValue: Success, logMessage: Loaded employee data, line: 109
logTime: 24/12/2023 11:41:27, source: Backend, module: entry, actionType: load_employee_data, actionValue: Success, logMessage: Loaded employee data, line: 109
logTime: 24/12/2023 12:06:05, source: Backend, module: entry, actionType: load_employee_data, actionValue: Success, logMessage: Loaded employee data, line: 109
logTime: 24/12/2023 12:06:36, source: Backend, module: entry, actionType: consume_face_data, actionValue: Success, logMessage: Employee entered the store, line: 670
logTime: 24/12/2023 12:06:37, source: Backend, module: entry, actionType: consume_face_data, actionValue: Success, logMessage: Employee already in store and standing infront of entry cam, line: 667
logTime: 24/12/2023 12:06:37, source: Backend, module: entry, actionType: consume_face_data, actionValue: Success, logMessage: Employee already in store and standing infront of entry cam, line: 667
logTime: 24/12/2023 12:07:18, source: Backend, module: entry, actionType: consume_face_data, actionValue: Success, logMessage: Employee entered the store, line: 670
logTime: 24/12/2023 12:07:18, source: Backend, module: entry, actionType: consume_face_data, actionValue: Success, logMessage: Employee already in store and standing infront of entry cam, line: 667
logTime: 24/12/2023 12:07:19, source: Backend, module: entry, actionType: consume_face_data, actionValue: Success, logMessage: Employee already in store and standing infront of entry cam, line: 667
logTime: 24/12/2023 12:07:19, source: Backend, module: entry, actionType: consume_face_data, actionValue: Success, logMessage: Employee already in store and standing infront of entry cam, line: 667
logTime: 24/12/2023 12:07:19, source: Backend, module: entry, actionType: consume_face_data, actionValue: Success, logMessage: Employee already in store and standing infront of entry cam, line: 667
logTime: 24/12/2023 12:07:19, source: Backend, module: entry, actionType: consume_face_data, actionValue: Success, logMessage: Employee already in store and standing infront of entry cam, line: 667
logTime: 24/12/2023 12:08:00, source: Backend, module: entry, actionType: load_employee_data, actionValue: Success, logMessage: Loaded employee data, line: 109
logTime: 24/12/2023 12:19:18, source: Backend, module: entry, actionType: load_employee_data, actionValue: Success, logMessage: Loaded employee data, line: 109
logTime: 24/12/2023 12:19:58, source: Backend, module: exit, actionType: update_employee_inmem, actionValue: f8cf836d-2cf0-4ea5-b254-acb9fcaae905, logMessage: Employee already exited, line: 712
logTime: 24/12/2023 12:19:58, source: Backend, module: exit, actionType: update_employee_inmem, actionValue: f8cf836d-2cf0-4ea5-b254-acb9fcaae905, logMessage: Employee already exited, line: 712
logTime: 24/12/2023 12:19:59, source: Backend, module: exit, actionType: update_employee_inmem, actionValue: f8cf836d-2cf0-4ea5-b254-acb9fcaae905, logMessage: Employee already exited, line: 712
logTime: 24/12/2023 12:20:01, source: Backend, module: exit, actionType: get_face_record_from_localdb, actionValue: None, logMessage: Incomplete Not found, creating new record and inserting, line: 629
logTime: 24/12/2023 12:20:01, source: Backend, module: exit, actionType: create_new_record_and_insert_to_localdb, actionValue: bec32421-2620-4bd1-81e6-8c4a4fd8996d, logMessage: New incomplete record created and inserted to local db, line: 132
logTime: 24/12/2023 21:41:25, source: Backend, module: entry, actionType: load_employee_data, actionValue: Success, logMessage: Loaded employee data, line: 109
logTime: 24/12/2023 21:41:53, source: Backend, module: entry, actionType: load_employee_data, actionValue: Success, logMessage: Loaded employee data, line: 109
logTime: 24/12/2023 21:42:13, source: Backend, module: exit, actionType: update_employee_inmem, actionValue: f8cf836d-2cf0-4ea5-b254-acb9fcaae905, logMessage: Employee already exited, line: 712
logTime: 24/12/2023 21:42:13, source: Backend, module: exit, actionType: update_employee_inmem, actionValue: f8cf836d-2cf0-4ea5-b254-acb9fcaae905, logMessage: Employee already exited, line: 712
logTime: 24/12/2023 21:43:23, source: Backend, module: entry, actionType: load_employee_data, actionValue: Success, logMessage: Loaded employee data, line: 109
